Voucher Type;Voucher No;Voucher Date;Account;Posting 1;Posting 2;Posting 3;Posting 4;Posting 5;Period Start;No of Periods;Subledger No;Invoice Date;Invoice No;OCR;Due Date;Text;TaxRule;Amount
AR;102284000;20250901;3740;550;;;;;;;;;;;;;;-0.23
AR;102284000;20250801;3740;550;;;;;;;;;;;;;;-0.2
AR;102284000;20250901;3242;550;;KST;10750;;;;;;;;;;;-49
AR;102284000;20250801;3242;550;;KST;10750;;;;;;;;;;;-22.87
AR;102284000;20250901;3011;61110;;25002;10501;;;;;;;;;;;-14333.12
AR;102284000;20250801;3011;61110;;25002;10501;;;;;;;;;;;-6688.79
AR;102284000;20250901;2420;550;;KST;10162;;;;;;;;;;;-15
AR;102284000;20250801;2420;550;;KST;10162;;;;;;;;;;;-7
AR;102284000;20250901;3694;61110;;25002;10587;;;;;;;;;;2;-1138.65
AR;102284000;20250801;3694;61110;;25002;10587;;;;;;;;;;2;-681.14
AR;102284000;20250901;2970;;;;;;;;;;;;;;;22936
AR;102284001;20250901;3740;550;;;;;;;;;;;;;;0.1
AR;102284001;20250801;3740;550;;;;;;;;;;;;;;-0.88
AR;102284001;20250901;3242;550;;KST;10750;;;;;;;;;;;-49
AR;102284001;20250801;3242;550;;KST;10750;;;;;;;;;;;-24.5
AR;102284001;20250901;3011;61120;;06402;10502;;;;;;;;;;;-9109.64
AR;102284001;20250801;3011;61120;;06402;10502;;;;;;;;;;;-4554.82
AR;102284001;20250901;3015;61120;;06403;10520;;;;;;;;;;;-689.21
AR;102284001;20250801;3015;61120;;06403;10520;;;;;;;;;;;-344.61
AR;102284001;20250901;2420;550;;KST;10162;;;;;;;;;;;-15
AR;102284001;20250801;2420;550;;KST;10162;;;;;;;;;;;-7.5
AR;102284001;20250901;3694;61120;;06402;10587;;;;;;;;;;2;-134.63
AR;102284001;20250801;3694;61120;;06402;10587;;;;;;;;;;2;-109.38
AR;102284001;20250901;3011;61120;;06402;10760;;;;;;;;;;;-194.5
AR;102284001;20250801;3011;61120;;06402;10760;;;;;;;;;;;-97.25
AR;102284001;20250901;3011;61120;;06402;10760;;;;;;;;;;;-197.82
AR;102284001;20250801;3011;61120;;06402;10760;;;;;;;;;;;-98.91
AR;102284001;20250901;3011;61120;;06402;10760;;;;;;;;;;;-150.3
AR;102284001;20250801;3011;61120;;06402;10760;;;;;;;;;;;-75.15
AR;102284001;20250901;2970;;;;;;;;;;;;;;;15853
AR;102284002;20250901;3740;550;;;;;;;;;;;;;;-0.42
AR;102284002;20250801;3740;550;;;;;;;;;;;;;;-0.3
AR;102284002;20250901;3242;550;;KST;10750;;;;;;;;;;;-49
AR;102284002;20250801;3242;550;;KST;10750;;;;;;;;;;;-31.03
AR;102284002;20250901;3011;61120;;06602;10502;;;;;;;;;;;-6936.58
AR;102284002;20250801;3011;61120;;06602;10502;;;;;;;;;;;-4393.17
AR;102284002;20250901;2420;550;;KST;10162;;;;;;;;;;;-15
AR;102284002;20250801;2420;550;;KST;10162;;;;;;;;;;;-9.5
AR;102284002;20250901;2970;;;;;;;;;;;;;;;11435
AR;102284003;20250901;3740;550;;;;;;;;;;;;;;-0.14
AR;102284003;20250801;3740;550;;;;;;;;;;;;;;0.28
AR;102284003;20250901;3011;61120;;04601;10502;;;;;;;;;;;-4660.36
AR;102284003;20250801;3011;61120;;04601;10502;;;;;;;;;;;-4038.98
AR;102284003;20250901;2420;550;;KST;10162;;;;;;;;;;;-15
AR;102284003;20250801;2420;550;;KST;10162;;;;;;;;;;;-13
AR;102284003;20250901;2423;550;;KST;10162;;;;;;;;;;;-1.5
AR;102284003;20250801;2423;550;;KST;10162;;;;;;;;;;;-1.3
AR;102284003;20250901;2970;;;;;;;;;;;;;;;8730
