Voucher Type;Voucher No;Voucher Date;Account;Posting 1;Posting 2;Posting 3;Posting 4;Posting 5;Period Start;No of Periods;Subledger No;Invoice Date;Invoice No;OCR;Due Date;Text;TaxRule;Amount
AR;102296000;20250901;3740;550;;;;;;;;;;;;;;-0.61
AR;102296000;20250901;3242;550;;KST;10750;;;;;;;;;;;-49
AR;102296000;20250901;3011;61130;;01402;10501;;;;;;;;;;;-10454.14
AR;102296000;20250901;3011;61130;;22806;10501;;;;;;;;;;;-11417.8
AR;102296000;20250901;3015;61130;;22806;10520;;;;;;;;;;;-1033.82
AR;102296000;20250901;3015;61130;;22806;10520;;;;;;;;;;;201.5
AR;102296000;20250901;2420;550;;KST;10162;;;;;;;;;;;-30
AR;102296000;20250901;3694;61130;;01402;10587;;;;;;;;;;2;-242.38
AR;102296000;20250901;3694;61130;;22806;10587;;;;;;;;;;2;-77.75
AR;102296000;20250901;2970;;;;;;;;;;;;;;;23104
