Voucher Type;Voucher No;Voucher Date;Account;Posting 1;Posting 2;Posting 3;Posting 4;Posting 5;Period Start;No of Periods;Subledger No;Invoice Date;Invoice No;OCR;Due Date;Text;TaxRule;Amount
AR;202299000;20250806;1530;;;;;;;;00085369;20250806;552508352645257;552508352645257;20250827;;;583880
AR;202299000;20250806;1530;;;;;;;;00085369;20250806;552508352645356;552508352645356;20250827;;;57729
AR;202299000;20250806;1530;;;;;;;;00085369;20250806;552508352645455;552508352645455;20250827;;;43647
AR;202299000;20250806;2970;;;;;;;;;;;;;;;-685256
AR;202299001;20250806;1560;;;;;10011;;;00085365;20250806;552508352643955;552508352643955;20250827;;;65866.05
AR;202299001;20250806;1560;;;;;10011;;;00085365;20250806;552508352644052;552508352644052;20250827;;;73692
AR;202299001;20250806;1560;;;;;10011;;;00085365;20250806;552508352644151;552508352644151;20250827;;;361066
AR;202299001;20250806;1560;;;;;10011;;;00085365;20250806;552508352644250;552508352644250;20250827;;;157593
AR;202299001;20250806;1560;;;;;10011;;;00085365;20250806;552508352644359;552508352644359;20250827;;;12618
AR;202299001;20250806;1560;;;;;10001;;;00085367;20250806;552508352644458;552508352644458;20250827;;;832321
AR;202299001;20250806;1560;;;;;10001;;;00085367;20250806;552508352644557;552508352644557;20250827;;;55491
AR;202299001;20250806;1560;;;;;10001;;;00085367;20250806;552508352644656;552508352644656;20250827;;;132784
AR;202299001;20250806;1560;;;;;10001;;;00085367;20250806;552508352644755;552508352644755;20250827;;;57956
AR;202299001;20250806;1560;;;;;10021;;;00085366;20250806;552508352644854;552508352644854;20250827;;;397372
AR;202299001;20250806;1560;;;;;10021;;;00085366;20250806;552508352644953;552508352644953;20250827;;;5217
AR;202299001;20250806;1560;;;;;10021;;;00085366;20250806;552508352645059;552508352645059;20250827;;;96504
AR;202299001;20250806;1560;;;;;10021;;;00085366;20250806;552508352645158;552508352645158;20250827;;;35492
AR;202299001;20250806;2972;;;;;;;;;;;;;;;-2283972.05
